,OPMRDB025_ROC_C3_Act_M0,EBA_DATE,OPMMDB024_MOC_C3_ORU_Act_M0,OPMMDS013_C3_SC_Act_M0,OPMMDB038_C3_OCU_Act_M0,MOC_C3_Net_M0_Act,Total_M0_Act,MPSPC3019_TPE_PP_1_M0,MPSPC3020_TPE_PP_2_M0,MPSPC3021_Total_TPE_Site_7_M0,MPOOC3008_Dow_HPPO_M0,ODMC3P026_Dow_RTC_Transfer_M0,ODMC3P023_TPE_BTF_Transfer_M0,MPOOC3007_HMC_M0,MPSPC3001_PTT_Supply_M0,TPE_BTF_Transfer_M0,Total_TPE_Site_1_M0,TPE_total_M0,Total_Dow_M0,Total Customer_M0,Production-Customer_Act_M0,M1_H05MOC004_MOC_C3_ORU,M1_H05MOC420_C3_SC,M1_H05MOC005_C3_OCU,M1_H05ROC003_ROC_C3,Month_M1,Year_M1,day_in_month_M1,M1_MOC_C3_Net,M1_Total,MPSPC3019_TPE_PP_1_M1,MPSPC3020_TPE_PP_2_M1,MPSPC3021_Total_TPE_Site_7_M1,MPOOC3008_Dow_HPPO_M1,ODMC3P026_Dow_RTC_Transfer_M1,ODMC3P023_TPE_BTF_Transfer_M1,MPOOC3007_HMC_M1,MPSPC3001_PTT_Supply_M1,TPE_BTF_Transfer_M1,Total_TPE_Site_1_M1,TPE_total_M1,Total_Dow_M1,Total Customer_M1,Production-Customer_M1,Unnamed: 0_x,timestamp_x,ROC_C3,MOC_C3_ORU,MOC_C3_OCU,MOC_C3_SC,MOC_C3,Input_Total,TPE_BTF_Transfer,TPE_PTT_Supply,TPE_Total_Site1,TPE_PP3,TPE_Total,HMC_A,HMC_B,HMC_Total,Total_Dow(Dummy),Output_Total,Balance,Total_Dow_Plan,ROC_C3_Plan,Output_Total_New,Input_Total_New,Balance_New,Accumulation_EBA_M1,Accumulation_EBA_M0,Accumulation_PI,Balanc_PI_EBA_M0,Accumulation_PI_EBA_M0,Balanc_PI_EBA_M1,Accumulation_PI_EBA_M1,Unnamed: 0_y,Unnamed: 0.1,timestamp_y,ROC_TK_1300A,ROC_TK_1300C,MOC_TK_1310A,MOC_TK_1310B,MOC_TK_1310C,MTT_TK_301A,MTT_TK_301B,C3_Site,C3_Total,C3_avail,%C3_avail,Max_C3_Inventory,Min_C3_Inventory,Balance_MTT_TK_301A_B,Max_C3_Inventory_Op,Min_C3_Inventory_Op
0,0.0,2022-10-01,68.19999448,0.0,29.43166318,97.63165766,97.63165766,15.537916666666668,24.5625,49.60916666666666,35.5,0.08241667,0.0,0.0,0.0,40.10041666666667,40.10041666666667,89.70958333333333,35.58241667,125.29200000333333,-27.660342343333326,,,,,,,,,,,,,,,,,,,,,,,,30.0,2022-10-01 00:00:00,26.783599853515625,69.45429313161884,30.883161695473724,3.969631669173638,104.3070864962662,131.09068634978183,20.266681394908165,20.27161005569829,40.53829145060645,49.60711881657441,90.14541026718086,0.0,0.0,0.0,49.60711881657441,139.7525290837553,-8.661842733973458,35.58241667,0.0,125.72782693718086,104.3070864962662,-21.42074044091467,,-27.660342343333326,-21.42074044091467,-21.42074044091467,-21.42074044091467,-21.42074044091467,-21.42074044091467,30.0,30.0,2022-10-01 00:00:00+00:00,473.330933,116.028641,2016.56091,1116.4502,277.8587,2985.769,3185.89063,4000.229384,9778.001673,4421.998327000001,68.85916671126759,9800,2540,6171.65963,14274,903
1,0.0,2022-10-02,68.20000086,4.24013247,29.50610734,101.94624067000001,101.94624067000001,15.3125,24.552083333333332,49.663333333333334,38.66666667,0.01316667,0.0,0.0,0.0,39.86458333333333,39.86458333333333,89.52791666666667,38.679833339999995,128.20775000666666,-26.26150933666665,,,,,,,,,,,,,,,,,,,,,,,,31.0,2022-10-02 00:00:00,26.783599853515625,68.62474336055668,30.96125052292737,4.1617058580120405,103.74769974149608,130.53129959501172,20.2200860481792,20.201613264415,40.4216993125942,49.6628042365445,90.0845035491387,0.0,0.0,0.0,49.6628042365445,139.7473077856832,-9.216008190671488,38.679833339999995,0.0,128.7643368891387,103.74769974149608,-25.016637147642612,,-53.921851679999975,-46.43737758855728,-25.016637147642612,-46.43737758855728,-25.016637147642612,-46.43737758855728,31.0,31.0,2022-10-02 00:00:00+00:00,473.10083,114.919693,2043.36658,511.380951,277.362427,2989.18872,3195.38379,3420.130481,9212.420871,4987.579129,64.87620331690141,9800,2540,6184.57251,14274,903
2,0.0,2022-10-03,68.2000065,4.22941433,29.52476333,101.95418416,101.95418416,15.566249999999998,24.55458333333333,49.60041666666667,38.66666667,0.21479167,-6.21238728,0.0,0.0,40.12083333333333,33.90844605333333,83.50886272,38.881458339999995,122.39032105999999,-20.436136899999994,,,,,,,,,,,,,,,,,,,,,,,,32.0,2022-10-03 00:00:00,26.783599853515625,68.2147959291935,30.841208427433983,4.168859918912252,103.22486427553972,130.00846412905537,20.152744296193124,20.154181845916643,40.306926142109766,49.59764896505335,89.90457510716311,0.0,0.0,0.0,49.59764896505335,139.50222407221645,-9.49375994316108,38.881458339999995,0.0,128.7860334471631,103.22486427553972,-25.56116917162339,,-74.35798857999997,-71.99854676018067,-25.56116917162339,-71.99854676018067,-25.56116917162339,-71.99854676018067,32.0,32.0,2022-10-03 00:00:00+00:00,472.209,115.588516,1549.13843,390.7382,277.521423,2984.926,3184.92139,2805.1955690000004,8581.93302,5618.06698,60.436148028169015,9800,2540,6169.84739,14274,903
3,0.0,2022-10-04,68.19999679,4.17674904,29.60209107,101.9788369,101.9788369,15.6825,24.349166666666665,49.50958333333333,38.66666667,-0.18495833,-9.23236272,0.0,0.0,40.031666666666666,30.79930394666667,80.30888728,38.48170834,118.79059561999999,-16.811758719999986,,,,,,,,,,,,,,,,,,,,,,,,33.0,2022-10-04 00:00:00,26.783599853515625,68.51288565406828,30.05335115910521,4.059924139082431,102.62616095225592,129.40976080577155,15.843624214364423,15.808289810187286,31.651914024551708,49.510383085818,81.1622971103697,0.0,0.0,0.0,49.510383085818,130.6726801961877,-1.2629193904161582,38.48170834,0.0,119.6440054503697,102.62616095225592,-17.01784449811379,,-91.16974729999995,-89.01639125829446,-17.01784449811379,-89.01639125829446,-17.01784449811379,-89.01639125829446,33.0,33.0,2022-10-04 00:00:00+00:00,472.675873,116.454437,856.729065,399.074371,278.7425,2982.86938,3183.6106,2123.676246,7894.959289,6305.040711,55.59830485211268,9800,2540,6166.47998,14274,903
4,0.0,2022-10-05,68.19999755,4.21972329,39.63940367,112.05912451,112.05912451,3.93375,6.7995833333333335,50.13458333333333,38.66666667,0.24091667,-3.88702996,0.0,0.0,10.733333333333334,6.846303373333335,56.980886706666666,38.907583339999995,95.88847004666667,16.170654463333335,,,,,,,,,,,,,,,,,,,,,,,,34.0,2022-10-05 00:00:00,26.783599853515625,68.44287449234051,34.97447908821003,4.105418269832929,107.52277185038346,134.3063717038991,3.487273696756211,3.280599446346686,6.767873143102896,50.13421767029792,56.90209081340081,0.0,0.0,0.0,50.13421767029792,107.03630848369872,27.27006322020037,38.907583339999995,0.0,95.8096741534008,107.52277185038346,11.713097696982658,,-74.99909283666662,-77.3032935613118,11.713097696982658,-77.3032935613118,11.713097696982658,-77.3032935613118,34.0,34.0,2022-10-05 00:00:00+00:00,473.5125,117.066711,415.958221,380.44574,278.628662,2983.148,3184.15845,1665.611834,7437.222911,6762.777089,52.37480923239437,9800,2540,6167.30645,14274,903
5,0.0,2022-10-06,68.20000593,4.16692324,39.47492721,111.84185638,111.84185638,0.0,0.21375,55.9625,38.66666667,-0.12158333,-0.77523871,0.0,0.0,0.21375,-0.56148871,55.40101129,38.54508334,93.94609463,17.89576174999999,,,,,,,,,,,,,,,,,,,,,,,,35.0,2022-10-06 00:00:00,26.783599853515625,67.60302336480882,33.10637084809983,3.970682672907909,104.68007688581656,131.4636767393322,0.3029287412762642,0.172621530170242,0.4755502714465062,55.96540607714947,56.440956348595975,0.0,0.0,0.0,55.96540607714947,112.40636242574544,19.057314313586744,38.54508334,0.0,94.98603968859598,104.68007688581656,9.694037197220581,,-57.10333108666663,-67.60925636409122,9.694037197220581,-67.60925636409122,9.694037197220581,-67.60925636409122,35.0,35.0,2022-10-06 00:00:00+00:00,473.239838,116.267616,783.7227,311.703156,277.9638,2983.86938,3184.61475,1962.89711,7737.149824,6462.850176,54.486970591549294,9800,2540,6168.484130000001,14274,903
6,0.0,2022-10-07,68.19999755,4.16883578,29.86283412,102.23166745,102.23166745,0.0,0.0,57.06666666666666,38.66666667,-0.06325,0.88647116,0.32083333,0.0,0.0,0.88647116,57.95313782666666,38.60341667,96.87738782666666,5.3542796233333405,,,,,,,,,,,,,,,,,,,,,,,,36.0,2022-10-07 00:00:00,26.783599853515625,67.11088085731205,33.38730650735432,4.004755454262098,104.50294281892846,131.28654267244409,0.0,0.0,0.0,57.05771262161059,57.05771262161059,0.3075636553601384,0.0,0.3075636553601384,57.05771262161059,114.42298889858132,16.863553773862762,38.60341667,0.0,95.96869294697073,104.50294281892846,8.534249871957726,,-51.74905146333329,-59.0750064921335,8.534249871957726,-59.0750064921335,8.534249871957726,-59.0750064921335,36.0,36.0,2022-10-07 00:00:00+00:00,472.592651,115.584717,1048.67444,312.934357,278.218048,2982.78955,3183.91821,2228.004213,8000.909207999999,6199.090792000001,56.34443104225352,9800,2540,6166.707759999999,14274,903
7,0.0,2022-10-08,68.19999642,4.22499108,30.44265245,102.86763995,102.86763995,0.0,0.0,49.34583333333333,38.66666667,5.15704167,-0.17677338,13.94154167,0.0,0.0,-0.17677338,49.16905995333333,43.823708339999996,106.93430996333333,-4.066670013333336,,,,,,,,,,,,,,,,,,,,,,,,37.0,2022-10-08 00:00:00,26.783599853515625,66.75797306731896,34.18001939326525,4.10500055924058,105.0429930198248,131.82659287334042,0.0,0.0,0.0,49.3444636811202,49.3444636811202,13.880148111727502,0.0,13.880148111727502,49.3444636811202,112.5690754739679,19.25751739937252,43.823708339999996,0.0,107.0483201328477,105.0429930198248,-2.0053271130229007,,-55.815721476666624,-61.0803336051564,-2.0053271130229007,-61.0803336051564,-2.0053271130229007,-61.0803336051564,37.0,37.0,2022-10-08 00:00:00+00:00,473.0163,116.02533,1281.45264,315.7957,278.267853,2982.97974,3184.40356,2464.557823,8237.64794,5962.352059999999,58.011605211267614,9800,2540,6167.3833,14274,903
8,0.0,2022-10-09,68.19999442,4.19491392,30.54503206,102.9399404,102.9399404,0.0,0.0,49.32916666666667,38.66666667,10.42675,-0.5808088,13.47970833,0.0,0.0,-0.5808088,48.74835786666667,49.093416669999996,111.32148286666666,-8.381542466666659,,,,,,,,,,,,,,,,,,,,,,,,38.0,2022-10-09 00:00:00,26.783599853515625,66.82515602977188,33.62712804682682,3.779453834146261,104.23173791074495,131.01533776426058,0.0762361119190851,0.0632881961762905,0.1395243080953757,49.33430049214319,49.47382480023857,13.745428772062064,0.0,13.745428772062064,49.33430049214319,112.55355406444384,18.46178369981675,49.093416669999996,0.0,112.31267024230064,104.23173791074495,-8.080932331555687,,-64.19726394333328,-69.16126593671208,-8.080932331555687,-69.16126593671208,-8.080932331555687,-69.16126593671208,38.0,38.0,2022-10-09 00:00:00+00:00,473.093872,115.701279,1273.72021,316.849518,278.015564,2983.86719,3185.19531,2457.380443,8232.7261,5967.2739,57.97694436619718,9800,2540,6169.0625,14274,903
9,0.0,2022-10-10,68.20000121,4.17636129,30.50040859,102.87677109,102.87677109,1.9075,0.0,47.55291666666667,38.66666667,10.861125,0.99994565,7.49125,0.0,1.9075,2.90744565,50.46036231666667,49.52779167,107.47940398666667,-4.6026328966666625,,,,,,,,,,,,,,,,,,,,,,,,39.0,2022-10-10 00:00:00,26.783599853515625,66.83437922933595,34.425629126038814,3.732784912735224,104.99279326811,131.77639312162563,0.8586255475050873,0.8645642354541148,1.723189782959202,47.54478666868842,49.26797645164763,7.527631012938083,0.0,7.527631012938083,47.54478666868842,104.34039413327416,27.43599898835149,49.52779167,0.0,106.32339913458571,104.99279326811,-1.3306058664757074,,-68.79989683999995,-70.49187180318779,-1.3306058664757074,-70.49187180318779,-1.3306058664757074,-70.49187180318779,39.0,39.0,2022-10-10 00:00:00+00:00,472.494934,114.761581,1048.00146,317.646332,277.964172,2985.621,3185.74829,2230.868479,8009.512016000001,6190.487983999999,56.4050141971831,9800,2540,6171.369290000001,14274,903
10,0.0,2022-10-11,68.19999889,4.16023445,30.51744501,102.87767835000001,102.87767835000001,0.26416666666666666,0.0,50.642500000000005,38.66666667,10.65879167,1.43339237,9.342125,0.0,0.26416666666666666,1.6975590366666666,52.34005903666667,49.32545834,111.00764237666667,-8.129964026666656,,,,,,,,,,,,,,,,,,,,,,,,40.0,2022-10-11 00:00:00,26.783599853515625,67.09529346985941,33.83031426120172,4.044905492663384,104.97051322372452,131.75411307724016,0.1255143225789045,0.1387917895904845,0.2643061121693891,50.643878201082906,50.90818431325229,9.124173958014696,0.0,9.124173958014696,50.643878201082906,110.6762364723499,21.077876604890264,49.32545834,0.0,109.35781661126698,104.97051322372452,-4.38730338754246,,-76.9298608666666,-74.87917519073025,-4.38730338754246,-74.87917519073025,-4.38730338754246,-74.87917519073025,40.0,40.0,2022-10-11 00:00:00+00:00,472.543457,116.971359,1017.37732,322.424835,277.840485,2980.94727,3182.97168,2207.157456,7976.264562,6223.735438,56.1708771971831,9800,2540,6163.91895,14274,903
11,0.0,2022-10-12,68.19999519,4.20493398,30.37449559,102.77942476,102.77942476,8.155,0.0,50.18375,38.66666667,5.06175,0.26540573,14.58333333,0.0,8.155,8.420405729999999,58.60415573,43.72841667,116.91590573,-14.136480970000008,,,,,,,,,,,,,,,,,,,,,,,,41.0,2022-10-12 00:00:00,26.783599853515625,69.77917954634736,28.48921514505148,3.96751670986414,102.23591140126298,129.0195112547786,3.878524190493756,3.872086173204912,7.750610363698668,50.18228654616556,57.93289690986423,15.16104423844946,0.0,15.16104423844946,50.18228654616556,123.27622769447925,5.743283560299346,43.72841667,0.0,116.8223578183137,102.23591140126298,-14.586446417050723,,-91.06634183666661,-89.46562160778097,-14.586446417050723,-89.46562160778097,-14.586446417050723,-89.46562160778097,41.0,41.0,2022-10-12 00:00:00+00:00,472.9522,118.966522,908.1808,327.103333,278.215363,2974.90869,3179.34521,2105.418218,7862.490233,6337.509767,55.36964952816901,9800,2540,6154.2539,14274,903
12,0.0,2022-10-13,68.19999559,4.16450441,30.41649672,102.78099672,102.78099672,16.210833333333333,0.0,49.600833333333334,38.66666667,-0.01345833,-11.12777613,8.33333333,0.0,16.210833333333333,5.0830572033333326,54.68389053666667,38.65320834,101.67043220666666,1.110564513333344,,,,,,,,,,,,,,,,,,,,,,,,42.0,2022-10-13 00:00:00,26.783599853515625,71.61015731096268,27.026933686243904,4.104861868917942,102.74195286612452,129.52555271964013,3.2830805649442807,3.239250474729472,6.522331039673753,49.6070396819674,56.12937072164115,6.429975262656387,0.0,6.429975262656387,49.6070396819674,112.16638566626492,17.359167053375202,38.65320834,0.0,101.21255432429753,102.74195286612452,1.5293985418269926,,-89.95577732333327,-87.93622306595398,1.5293985418269926,-87.93622306595398,1.5293985418269926,-87.93622306595398,42.0,42.0,2022-10-13 00:00:00+00:00,474.115173,118.372635,572.4716,329.4287,278.608032,2922.42529,3180.80737,1772.9961400000002,7479.248133000001,6720.751866999999,52.670761500000005,9800,2540,6103.23266,14274,903
13,0.0,2022-10-14,68.20000089,4.21404077,30.61678183,103.03082348999999,103.03082348999999,16.215,0.2604166666666667,52.9575,38.66666667,-0.047875,-10.03686633,4.58333333,0.0,16.475416666666668,6.438550336666667,59.39605033666667,38.61879167,102.59817533666667,0.43264815333331796,,,,,,,,,,,,,,,,,,,,,,,,43.0,2022-10-14 00:00:00,26.783599853515625,71.3612582842509,27.195679462966,4.068493469059467,102.62543121627635,129.40903106979198,3.379097559476892,3.3600353282772835,6.739132887754176,52.96150105922691,59.700633946981085,5.366482962365299,0.0,5.366482962365299,52.96150105922691,118.02861796857329,11.380413101218693,38.61879167,0.0,103.68590857934637,102.62543121627635,-1.0604773630700208,,-89.52312916999995,-88.996700429024,-1.0604773630700208,-88.996700429024,-1.0604773630700208,-88.996700429024,43.0,43.0,2022-10-14 00:00:00+00:00,473.938843,116.596306,1032.15076,329.816681,278.950073,2567.5957,3182.95654,2231.452663,7586.458524,6613.541476,53.42576425352112,9800,2540,5750.55224,14274,903
14,0.0,2022-10-15,68.19999441,4.17822642,30.38249269,102.76071352,102.76071352,17.46375,1.8724999999999998,53.7925,38.04166667,0.08395833,-10.20110797,2.5,0.0,19.33625,9.135142029999999,62.927642029999994,38.125625,103.55326703,-0.7925535100000047,,,,,,,,,,,,,,,,,,,,,,,,44.0,2022-10-15 00:00:00,26.783599853515625,71.0160247762998,27.414050840364197,3.971493829290072,102.40156944595408,129.1851692994697,5.092570363332828,5.053486099193494,10.14605646252632,53.79443974318095,63.94049620570728,3.75298548859229,0.0,3.75298548859229,53.79443974318095,121.48792143748052,7.697247861989183,38.125625,0.0,105.81910669429956,102.40156944595408,-3.4175372483454822,,-90.31568267999995,-92.41423767736948,-3.4175372483454822,-92.41423767736948,-3.4175372483454822,-92.41423767736948,44.0,44.0,2022-10-15 00:00:00+00:00,473.297119,115.341721,1445.37781,329.352,278.2137,2206.57227,3184.274,2641.58235,7638.873199,6561.126801,53.7948816830986,9800,2540,5390.84627,14274,903
15,0.0,2022-10-16,68.19999997,4.17522503,30.44139427,102.81661927,102.81661927,14.62,14.083333333333334,53.44291666666667,38.04166667,-0.007375,-15.23512551,1.875,0.0,28.703333333333333,13.468207823333334,66.91112449,38.034291669999995,106.82041616000001,-4.003796890000004,,,,,,,,,,,,,,,,,,,,,,,,45.0,2022-10-16 00:00:00,26.783599853515625,71.63406037012736,27.22212397322758,3.9868425806363423,102.84302692399127,129.6266267775069,6.41043229393661,6.39266295687192,12.80309525080853,53.44734389289515,66.25043914370367,5.384722472121388,0.0,5.384722472121388,53.44734389289515,125.0825055087202,4.544121268786711,38.034291669999995,0.0,109.66945328582506,102.84302692399127,-6.826426361833782,,-94.31947956999996,-99.24066403920327,-6.826426361833782,-99.24066403920327,-6.826426361833782,-99.24066403920327,45.0,45.0,2022-10-16 00:00:00+00:00,472.682953,116.451225,1683.96375,330.537323,277.654419,1903.48718,3182.24658,2881.28967,7572.917786,6627.082214,53.33040694366197,9800,2540,5085.73376,14274,903
16,0.0,2022-10-17,68.19999849,4.15845568,30.50278629,102.86124046,102.86124046,11.600416666666668,20.380416666666665,53.57749999999999,38.04166667,-0.10516667,-14.80885662,2.70833333,0.0,31.980833333333333,17.171976713333333,70.74947671333332,37.936499999999995,111.39431004333332,-8.533069583333315,,,,,,,,,,,,,,,,,,,,,,,,46.0,2022-10-17 00:00:00,26.783599853515625,70.4218235397339,27.52494327658525,4.085951944688956,102.03271876100813,128.81631861452374,8.37515039804909,8.389206063648064,16.764356461697155,53.576209834845706,70.34056629654286,4.164461173867259,0.0,4.164461173867259,53.576209834845706,128.08123730525585,0.7350813092679118,37.936499999999995,0.0,112.44152747041011,102.03271876100813,-10.408808709401981,,-102.85254915333327,-109.64947274860525,-10.408808709401981,-109.64947274860525,-10.408808709401981,-109.64947274860525,46.0,46.0,2022-10-17 00:00:00+00:00,472.864136,119.32074,1725.7074,336.216644,277.914734,1658.249,3178.11768,2932.023654,7371.154860000001,6828.845139999999,51.90954126760563,9800,2540,4836.36668,14274,903
17,0.0,2022-10-18,68.2,4.21719584,29.49710875,101.91430459,101.91430459,11.762916666666667,20.484583333333333,53.278333333333336,38.04166667,0.39429167,-15.14630276,3.33333333,0.0,32.2475,17.101197240000005,70.37953057333334,38.43595834,112.14882224333334,-10.234517653333342,,,,,,,,,,,,,,,,,,,,,,,,47.0,2022-10-18 00:00:00,26.783599853515625,69.91789346377055,28.808578195864403,4.085093344251315,102.81156500388629,129.5951648574019,8.749893736739953,8.81073834002018,17.560632076760132,53.276001832311536,70.83663390907167,5.704442272220739,0.0,5.704442272220739,53.276001832311536,129.81707801360395,-0.2219131562020493,38.43595834,0.0,114.97703452129241,102.81156500388629,-12.165469517406123,,-113.08706680666661,-121.81494226601137,-12.165469517406123,-121.81494226601137,-12.165469517406123,-121.81494226601137,47.0,47.0,2022-10-18 00:00:00+00:00,474.383728,120.199257,1715.09131,340.321777,279.4445,942.6165799999999,3178.943,3357.629067482594,7358.989390482594,7068.643604999999,50.2208196830986,9800,2540,4121.55958,14274,903
18,0.0,2022-10-19,68.1999993,4.1381507,29.25329469,101.59144469,101.59144469,11.784999999999998,20.583333333333332,53.22083333333333,38.04166667,0.0,-15.0,7.91666667,0.0,32.36833333333333,17.368333333333332,70.58916666666667,38.04166667,116.54750000666667,-14.956055316666664,,,,,,,,,,,,,,,,,,,,,,,,48.0,2022-10-19 00:00:00,26.783599853515625,69.55491730653107,28.541592145463948,4.0624237139714605,102.15893316596647,128.94253301948208,9.099303142802976,9.09770666294662,18.197009805749595,53.3317270673263,71.5287368730759,6.306784194284112,0.0,6.306784194284112,53.3317270673263,131.1672481346863,-2.2247151152042197,38.04166667,0.0,115.87718773736,102.15893316596647,-13.71825457139353,,-128.04312212333326,-135.5331968374049,-14.956055316666664,-136.77099758267804,,,48.0,48.0,2022-10-19 00:00:00+00:00,474.703918,120.199257,1668.01563,340.171082,279.4445,462.6165799999999,3178.943,3822.6730121659275,7344.033335165927,7349.215200000001,48.24496338028169,9800,2540,3641.55958,14274,903
19,0.0,2022-10-20,68.19999881,4.16165953,29.30858331,101.67024165,101.67024165,11.849166666666667,20.927083333333332,53.42583333333334,38.04166667,0.0,-15.0,7.5,0.0,32.77625,17.776249999999997,71.20208333333333,38.04166667,116.74375000333333,-15.073508353333338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.04166667,0.0,,,,,-143.11663047666661,,-15.073508353333338,-151.8445059360114,,,,,,,120.199257,,,279.4445,462.6165799999999,3178.943,3807.599503812594,7328.959826812594,,,9800,2540,3641.55958,14274,903
20,0.0,2022-10-21,68.20000299,4.15935117,29.37864497,101.73799912999999,101.73799912999999,11.830833333333333,21.783749999999998,53.07041666666667,38.04166667,0.0,-15.0,6.875,0.0,33.61458333333333,18.61458333333333,71.685,38.04166667,116.60166667,-14.863667540000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.04166667,0.0,,,,,-157.9802980166666,,-14.863667540000009,-166.70817347601138,,,,,,,120.199257,,,279.4445,462.6165799999999,3178.943,3792.7358362725936,7314.0961592725935,,,9800,2540,3641.55958,14274,903
21,0.0,2022-10-22,68.19999778,4.13710222,29.38230309,101.71940309000001,101.71940309000001,11.725416666666668,23.854166666666668,49.51291666666666,38.04166667,0.0,-15.0,0.0,0.0,35.57958333333333,20.579583333333332,70.0925,38.04166667,108.13416667,-6.414763579999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.04166667,0.0,,,,,-164.3950615966666,,-6.414763579999985,-173.12293705601138,,,,,,,120.199257,,,279.4445,462.6165799999999,3178.943,3786.3210726925936,7307.6813956925935,,,9800,2540,3641.55958,14274,903
